PROJECT_ID,Initial_completion_date,final_completion_date,Delayed,Amount_of_Delay_(Quarters),Initial_ESTIMATED_COST,Final_Estimated_Budget,Budget_Overrun,percentage_of_overrun,CT_Commercial,CT_Industrial,CT_Infrastructure,CT_Institutional,CT_Residential,CST_Primarily_residential_Single_use,CST_Education,CST_Utilities,CST_Roads_Highways,CST_Oil_Gas,CST_Health,CST_Mixed_Use,CST_Recreation,CST_Office,CST_Others,REGION,Region_Mainland/Southwest,Region_Vancouver_Island/Coast,Region_Thompson-Okanagan,Region_Northeast,Region_others,MUNICIPALITY,Urban,Type_Owner_priv,Type_Owner_prov,Type_Owner_part,Project_Status_Construction_started,Project_Status_Proposed,Project_Status_On_hold,Project_Status_Completed,PUBLIC_FUNDING_IND,GREEN_BUILDING_IND,FIRST_NATION_IND,Times_Delayed,Age,Jobs,Below_Average_Winter_Temp_Quarters,Quarters_with_Above_Average_Snowfall,Quarters_with_Above_Average_Rain
1051,2020-Q4,2020-Q4,0,0,75,75,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3. Thompson-Okanagan,0,0,1,0,0,Kelowna,1,0,1,0,1,0,0,0,1,0,0,0,14.5,308,0,4,2
1097,2017-Q4,2019-Q4,1,8,477,477,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3. Thompson-Okanagan,0,0,1,0,0,Kelowna,1,1,0,0,1,0,0,0,0,0,0,2,10.5,3407,0,4,2
1103,2024-Q4,2024-Q4,0,0,8335,10700,1,28.37432513,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,8. Northeast,0,0,0,1,0,Fort St. John,0,0,1,0,1,0,0,0,1,0,0,0,4.5,6893,3,12,3
1116,2019-Q3,2019-Q3,0,0,104,104,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1. Vancouver Island/Coast,0,1,0,0,0,Victoria,1,1,0,0,0,1,0,0,0,0,0,0,0,297,4,4,3
1162,2016-Q3,2020-Q2,1,15,82,107,1,30.48780488,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2. Mainland/Southwest,1,0,0,0,0,New Westminster,1,0,1,0,0,1,0,0,1,1,0,5,0,364,2,4,3
1192,2016-Q2,2017-Q3,1,5,85,85,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2. Mainland/Southwest,1,0,0,0,0,Harrison Hot Springs,0,1,0,0,1,0,0,0,0,0,0,2,12.5,607,2,4,3
1197,2021-Q4,2019-Q4,1,-8,4500,4500,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5. Cariboo,0,0,0,0,1,Valemount To Burnaby,0,1,0,0,0,1,0,0,0,0,0,1,0.5,3464,4,10,4
1204,2016-Q4,2019-Q4,1,12,350,350,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1. Vancouver Island/Coast,0,1,0,0,0,Saanich,1,1,0,0,1,0,0,0,0,1,0,3,11.5,543,0,1,3
1220,2016-Q4,2019-Q4,1,12,900,900,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4. Kootenay,0,0,0,0,1,Rossland,0,1,0,0,1,0,0,0,0,0,0,3,14.5,4361,4,8,4
1222,2022-Q4,2022-Q4,0,0,36,36,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1. Vancouver Island/Coast,0,1,0,0,0,Langford,0,1,0,0,1,0,0,0,0,0,0,0,11.5,103,2,4,4
